,spect_size,spectrogram_time,nmf_batches,nmf_batch_size,nmf_fit_time,nmf_transform_time,hmm_batches,hmm_batch_size,hmm_fit_time,hmm_transform_time,total_time
0,"(1000, 513, 51)",1.2545392513275146,1000,1,135.68843364715576,53.065295934677124,1000,1,34.77032399177551,33.68406558036804,258.46265983581543
1,"(1000, 513, 103)",36.13769841194153,1000,1,263.4051978588104,103.15249347686768,1000,1,84.35149312019348,82.24731111526489,794.0727891921997
